"","occupati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"041 Lana",1424,1467,1533,1605,1649,1704,1760,1798,1885,1892,1957,2039,2144,2233,2311,2375,2468,2491,2480,2455,2527,2619,2774,2883,3030,3065,3201,3273,3428
"042 Lasa",234,346,352,391,406,421,444,464,464,454,475,484,508,537,550,570,606,635,643,682,672,700,741,724,711,687,676,685,652
"043 Lauregno",12,15,13,12,12,11,15,16,16,16,14,16,20,22,21,22,22,21,20,22,23,23,20,19,18,18,18,18,17
"044 Luson",30,27,23,25,25,22,26,31,33,41,46,53,56,60,68,76,82,90,86,86,92,114,127,113,123,100,111,126,134
"045 Magre' s.s.d.v.",75,71,74,74,63,60,74,107,117,107,126,129,135,142,148,155,157,171,172,178,187,179,191,194,193,199,192,209,222
"046 Malles Venosta",313,336,371,390,400,413,398,371,386,414,457,514,545,531,557,570,614,650,653,643,674,718,722,762,798,789,811,840,868
"047 Marebbe",102,104,107,108,120,125,134,166,167,174,184,195,227,233,242,233,233,226,220,227,243,245,250,265,293,252,231,297,304
"048 Marlengo",340,326,340,343,342,359,363,377,382,356,364,370,367,404,433,439,453,456,455,482,506,548,605,626,638,543,575,666,678
"049 Martello",8,11,13,20,24,23,22,21,22,22,22,26,35,30,30,33,30,30,34,40,47,47,48,43,46,44,41,48,51
"050 Meltina",19,17,13,15,19,25,35,42,47,43,50,55,59,62,54,55,61,58,54,52,56,64,68,66,67,64,62,66,78
"051 Merano",3948,3981,4107,4331,4471,4707,4919,5108,5244,5436,5592,5892,6306,6573,6597,6657,6780,6767,6660,6753,6891,6942,7014,7179,7318,7179,7335,7378,7338
"052 Monguelfo-Tesido",328,330,344,353,357,367,363,350,363,395,408,433,456,478,502,487,481,483,487,473,470,491,494,545,688,682,725,739,722
"053 Montagna s.s.d.v.",115,120,121,122,128,117,121,131,134,136,141,157,166,171,175,166,163,158,157,168,178,194,214,227,246,245,262,288,298
"054 Moso in Passiria",16,22,23,24,28,30,28,29,34,35,42,48,63,72,75,80,82,91,101,107,114,126,130,132,131,142,139,151,151
"055 Nalles",116,117,116,114,121,134,157,180,185,194,200,213,226,254,259,255,273,293,320,317,316,326,348,359,383,368,383,387,416
"056 Naturno",620,618,601,598,652,711,732,804,814,824,846,898,919,963,1020,1062,1084,1092,1132,1135,1158,1203,1226,1274,1331,1212,1230,1276,1279
"057 Naz-Sciaves",247,274,304,320,341,362,366,368,361,398,399,419,442,459,437,417,422,415,416,447,467,483,487,546,555,524,565,606,622
"058 Nova Levante",85,87,83,83,88,87,101,95,102,90,84,83,90,100,130,132,137,130,123,126,143,155,167,179,195,173,159,201,224
"059 Nova Ponente",179,184,180,201,199,215,242,283,296,307,309,327,347,377,401,414,409,405,390,380,390,402,435,473,509,468,443,514,536
"060 Ora",989,991,979,980,984,1027,1109,1198,1138,1140,1178,1209,1212,1227,1291,1293,1188,1213,1208,1211,1252,1286,1302,1293,1341,1356,1376,1455,1423
"061 Ortisei",514,508,504,499,499,505,509,518,553,564,564,622,670,691,711,711,687,689,707,721,737,754,783,831,846,771,774,866,896
"062 Parcines",189,188,184,176,186,190,201,260,257,260,289,318,321,309,305,312,310,316,326,299,291,308,335,349,343,303,339,377,399
"063 Perca",112,111,114,117,127,140,157,171,176,180,147,116,117,121,121,126,139,152,162,162,171,186,210,228,227,218,208,222,247
"064 Plaus",66,74,100,113,92,71,64,63,67,71,76,82,85,93,71,87,128,118,119,106,106,107,106,113,130,108,108,112,113
"065 Ponte Gardena",54,48,45,40,40,38,36,43,48,51,54,46,43,49,52,53,50,49,51,45,38,34,35,36,34,33,35,33,35
"066 Postal",261,269,287,309,302,342,363,363,364,374,393,423,412,424,421,434,453,510,528,551,595,637,682,704,735,727,718,710,729
"067 Prato allo Stelvio",399,429,438,439,449,485,486,466,502,494,491,488,504,478,471,485,509,510,515,541,607,634,671,675,693,712,756,775,764
"068 Predoi",5,4,6,7,6,9,9,14,10,7,7,8,12,16,15,16,18,17,16,21,18,19,22,27,31,26,27,32,33
"069 Proves",4,9,12,28,30,5,5,4,4,5,7,6,7,7,8,7,7,7,6,7,8,9,10,11,12,13,12,15,13
"070 Racines",188,197,209,211,212,225,255,268,295,311,318,341,378,426,442,433,443,433,414,441,468,494,509,535,587,559,566,614,650
"071 Rasun Anterselva",183,189,183,187,196,197,196,199,199,198,210,218,236,232,244,237,236,246,245,244,249,262,278,283,284,258,257,285,295
"072 Renon",649,684,728,695,699,699,695,687,664,678,689,695,721,742,726,711,732,727,756,812,860,940,996,1033,1054,1032,1088,1141,1145
"073 Rifiano",69,74,82,87,84,94,90,99,97,95,93,89,90,100,98,105,108,111,124,128,139,142,148,141,159,154,158,173,166
"074 Rio di Pusteria",270,287,296,299,312,346,359,348,360,342,368,418,461,500,508,514,523,544,559,560,569,577,600,657,685,642,651,738,835
"075 Rodengo",34,34,40,40,44,47,51,56,60,60,70,74,79,82,92,94,97,101,109,108,114,117,146,156,161,168,172,186,195
"076 Salorno s.s.d.v.",183,188,187,175,216,269,245,174,216,228,229,230,265,310,304,306,304,303,298,274,273,274,288,285,292,288,282,291,315
"077 S.Candido",547,577,602,609,614,642,687,692,692,691,715,736,770,823,837,853,861,843,840,832,847,883,928,936,934,901,892,977,1012
"079 S.Genesio Atesino",51,60,65,76,82,85,90,131,139,171,182,206,190,175,183,195,198,189,188,188,188,195,220,235,228,221,222,223,216
"080 S.Leonardo in Passiria",313,332,346,335,338,358,357,370,374,371,374,389,423,445,477,476,494,510,498,501,493,517,554,563,565,503,569,645,667
"081 S.Lorenzo di Sebato",615,582,573,533,577,623,588,561,683,774,846,819,833,855,867,850,878,906,920,900,937,987,1013,1038,1050,1028,958,1008,1104
"082 S.Martino in Badia",143,139,147,134,140,193,193,197,204,189,191,194,214,213,194,195,206,210,214,212,218,235,256,252,254,263,248,244,255
"083 S.Martino in Passiria",424,423,420,424,445,528,542,528,476,482,513,526,552,547,468,475,477,476,472,384,369,399,426,465,476,439,498,560,590
"084 S.Pancrazio",72,73,79,82,79,90,80,62,80,85,87,91,93,102,110,115,109,111,108,101,93,89,90,92,95,96,95,103,105
