jj	Sesso	gem	disoccupati	dis1564
1998	M	27	18.834773425	18.834773425
1998	M	28	24.523847926	24.483525346
1998	M	29	16.668164363	16.668164363
1998	M	30	5.5064644137	5.5064644137
1998	M	31	19.420282898	19.37266385
1998	M	32	4.0443676395	4.0443676395
1998	M	33	11.409050179	11.409050179
1998	M	34	13.111027906	13.111027906
1998	M	35	4.069546851	4.069546851
1998	M	36	5.6888888889	5.6888888889
1998	M	37	23.903814644	23.903814644
1998	M	38	21.526164875	21.526164875
1998	M	39	7.3802227343	7.3802227343
1998	M	40	69.590661802	69.590661802
1998	M	41	43.752323349	43.752323349
1998	M	42	23.247151818	23.247151818
1998	M	43	2.0535074245	2.0535074245
1998	M	44	4.8427675371	4.8427675371
1998	M	45	1.9578981055	1.9578981055
1998	M	46	38.618113159	38.618113159
1998	M	47	14.736520737	14.736520737
1998	M	48	14.530741167	14.519630056
1998	M	49	11.375748848	11.375748848
1998	M	50	3.7640616999	3.7640616999
1998	M	51	298.8811956	298.58952893
1998	M	52	13.548323093	13.548323093
1998	M	53	5.995359703	5.995359703
1998	M	54	14.445218894	14.445218894
1998	M	55	7.7123655914	7.6762544803
1998	M	56	29.718714798	29.718714798
1998	M	57	4.6523937532	4.6523937532
1998	M	58	7.95609319	7.95609319
1998	M	59	18.89156426	18.89156426
1998	M	60	9.9045890937	9.9045890937
1998	M	61	19.209139785	18.939695341
1998	M	62	17.355901178	17.355901178
1998	M	63	4.7559203789	4.7559203789
1998	M	64	3.8568292371	3.8568292371
1998	M	65	1.305344342	1.305344342
1998	M	66	4.8565412186	4.8565412186
1998	M	67	29.377464158	29.377464158
1998	M	68	4.0200012801	4.0200012801
1998	M	69	1.3922619048	1.3922619048
1998	M	70	20.49578213	20.46890041
1998	M	71	22.017825141	22.017825141
1998	M	72	21.675211214	21.675211214
1998	M	73	8.6017409114	8.6017409114
1998	M	74	11.103558628	11.103558628
1998	M	75	2.044124424	2.044124424
1998	M	76	10.490924219	10.157590886
1998	M	77	21.551996928	21.543932412
1998	M	79	4.9031618024	4.9031618024
1998	M	80	27.557405274	27.557405274
1998	M	81	16.607354071	16.454576293
1998	M	82	13.012327189	13.012327189
1998	M	83	23.785893497	23.785893497
1998	M	84	6.486015105	6.486015105
1998	M	85	11.815412186	11.815412186
1998	M	86	32.082744496	32.082744496
1998	M	87	25.343049155	25.334984639
1998	M	88	9.7455453149	9.7455453149
1998	M	89	18.870334101	18.870334101
1998	M	91	8.9716845878	8.9716845878
1998	M	92	25.560355863	25.560355863
1998	M	93	28.610087046	28.610087046
1998	M	94	11.364612135	11.364612135
1998	M	95	15.340424987	15.340424987
1998	M	96	5.0440924219	5.0440924219
1998	M	97	15.509165387	15.509165387
1998	M	98	7.0624807988	7.0624807988
1998	M	99	10.336923963	10.336923963
1998	M	100	3.266641065	2.9061571941
1998	M	101	20.956899642	20.956899642
1998	M	102	4.5416986687	4.5028993856
1998	M	103	9.9933179724	9.9933179724
1998	M	104	23.847887865	23.743049155
1998	M	105	2.724750384	2.724750384
1998	M	106	14.511757552	14.511757552
1998	M	107	13.889976959	13.889976959
1998	M	108	33.464599334	33.41890041
1998	M	109	14.6703085	14.6703085
1998	M	110	9.6438044035	9.6438044035
1998	M	111	13.480734767	13.480734767
1998	M	112	3.1251792115	3.1251792115
1998	M	113	6.2399577573	6.2399577573
1998	M	114	2.6494623656	2.6494623656
1998	M	115	44.691577061	44.537365591
1998	M	116	8.7296594982	8.7296594982
1998	M	117	6.3897145417	6.3897145417
1998	M	118	6.4369495648	6.4369495648
1999	F	1	9.1663018433	9.1663018433
1999	F	2	5.150281618	5.150281618
1999	F	3	1.331797235	1.331797235
1999	F	4	76.285791091	76.197081413
1999	F	5	8.1665770609	8.1665770609
1999	F	6	46.681150794	46.681150794
1999	F	7	7.7663978495	7.7663978495
1999	F	8	646.87040451	646.87040451
1999	F	9	4.3385304659	4.3385304659
1999	F	10	21.760215054	21.760215054
1999	F	11	114.88812084	114.88812084
1999	F	12	15.5187468	15.5187468
1999	F	13	122.06191116	122.06191116
1999	F	14	1.9440860215	1.9440860215
1999	F	15	44.866775474	44.592581925
1999	F	16	22.179301075	22.179301075
1999	F	17	40.344041219	40.344041219
1999	F	18	15.757155658	15.757155658
1999	F	19	51.494642857	51.128155402
1999	F	20	10.494655658	10.494655658
1999	F	21	18.526491295	18.526491295
1999	F	22	23.891109831	23.891109831
1999	F	23	13.433064516	13.433064516
1999	F	24	9.238421659	9.238421659
1999	F	25	2.5311571941	2.5311571941
1999	F	26	19.818189964	19.818189964
1999	F	27	18.078699437	18.078699437
1999	F	28	38.617741935	38.617741935
1999	F	29	23.010522273	23.010522273
1999	F	30	14.252585765	14.252585765
1999	F	31	23.321274962	23.321274962
1999	F	32	4.8054659498	4.8054659498
1999	F	33	16.946953405	16.946953405
1999	F	34	22.969578853	22.969578853
1999	F	35	8.0430107527	8.0430107527
1999	F	36	2.5798387097	2.5798387097
1999	F	37	25.386347926	25.386347926
1999	F	38	47.56938044	47.56938044
1999	F	39	15.606451613	15.606451613
1999	F	40	112.69477087	112.58581029
1999	F	41	102.01776754	101.96498976
1999	F	42	14.882360471	14.882360471
1999	F	43	2.0092293907	2.0092293907
1999	F	44	8.0625448029	8.0625448029
1999	F	45	4.2924283154	4.2924283154
1999	F	46	32.505523554	32.505523554
1999	F	47	31.712928827	31.712928827
1999	F	48	25.518625192	25.518625192
1999	F	49	10.88718638	10.88718638
1999	F	50	8.9399833589	8.9399833589
1999	F	51	391.7875576	391.25144649
1999	F	52	21.956662826	21.956662826
1999	F	53	4.1932795699	4.1932795699
1999	F	54	34.344604455	34.344604455
1999	F	55	10.851478495	10.851478495
1999	F	56	53.191788274	53.191788274
1999	F	57	11.756618024	11.756618024
1999	F	58	11.289023297	11.289023297
1999	F	59	26.850025602	26.712928827
1999	F	60	17.858538146	17.450204813
1999	F	61	25.996338966	25.996338966
1999	F	62	34.382162058	34.382162058
1999	F	63	11.44343958	11.44343958
1999	F	64	3.3379928315	3.3379928315
1999	F	65	1.682078853	1.682078853
1999	F	66	11.981208397	11.981208397
1999	F	67	19.47265105	19.47265105
1999	F	68	8.1989119304	8.1989119304
1999	F	69	0.641218638	0.641218638
1999	F	70	31.411296723	31.411296723
1999	F	71	27.954742704	27.954742704
1999	F	72	27.832283666	27.832283666
1999	F	73	12.233333333	12.233333333
1999	F	74	27.69452765	27.69452765
1999	F	75	6.3825268817	6.3825268817
1999	F	76	12.252124936	12.252124936
1999	F	77	37.043759601	37.043759601
1999	F	79	10.975537634	10.975537634
1999	F	80	53.984760625	53.984760625
1999	F	81	25.238946493	25.238946493
1999	F	82	21.440802611	21.440802611
1999	F	83	34.429416283	34.429416283
1999	F	84	17.38984895	17.38984895
1999	F	85	9.7422043011	9.7422043011
1999	F	86	46.313088838	46.313088838
1999	F	87	41.255645161	41.255645161
1999	F	88	14.633474142	14.633474142
1999	F	89	21.2578149	20.588370456
1999	F	91	13.945666923	13.945666923
1999	F	92	30.633979775	30.633979775
1999	F	93	29.829646697	29.783947773
1999	F	94	10.103289811	10.103289811
1999	F	95	12.9781298	12.9781298
1999	F	96	13.291839478	13.291839478
1999	F	97	17.696889401	17.696889401
1999	F	98	16.992466718	16.992466718
1999	F	99	19.075480031	19.075480031
1999	F	100	5.6150793651	5.6150793651
1999	F	101	30.961674347	30.961674347
1999	F	102	3.3041794675	3.3041794675
1999	F	103	4.2472222222	4.2472222222
1999	F	104	33.106490015	33.106490015
1999	F	105	5.0705197133	5.0705197133
1999	F	106	31.754390681	31.754390681
1999	F	107	21.619809268	21.619809268
1999	F	108	78.457302867	77.105869176
1999	F	109	27.470865335	27.470865335
1999	F	110	34.781496416	34.781496416
1999	F	111	17.443343574	17.443343574
1999	F	112	6.4397529442	6.4397529442
1999	F	113	12.109927035	12.109927035
1999	F	114	6.7951356887	6.7951356887
1999	F	115	55.863012033	55.696345366
1999	F	116	11.337602407	11.337602407
1999	F	117	10.223297491	10.223297491
1999	F	118	4.4164106503	4.4110343062
1999	M	1	4.5302163338	4.5302163338
1999	M	2	4.0233230927	4.0233230927
1999	M	3	1.5548387097	1.5548387097
1999	M	4	43.10656042	43.10656042
1999	M	5	4.8581541219	4.8581541219
1999	M	6	26.847388633	26.847388633
1999	M	7	7.3610727087	7.3610727087
1999	M	8	532.5468894	531.48192524
1999	M	9	2.6310227855	2.6310227855
1999	M	10	11.439644137	11.439644137
1999	M	11	68.449583973	68.449583973
1999	M	12	7.4245967742	7.4245967742
1999	M	13	61.517306708	61.517306708
1999	M	14	1.4203405018	1.4203405018
1999	M	15	24.892153098	24.892153098
1999	M	16	8.4720174091	8.4720174091
1999	M	17	22.836680748	22.788293651
1999	M	18	4.5278225806	4.5278225806
1999	M	19	34.285451869	34.285451869
1999	M	20	3.489874552	3.489874552
